user_id_idx,user
467746.0,khangtt92
105049.0,g.e.m.n
622262.0,gdkaw
630020.0,dangvantrung134
32087.0,samvara.shop
111681.0,anhngoc2512
2446.0,minabeaute2402
127647.0,pinkthow01
148522.0,uh77y4zr22
111.0,v*****4
252333.0,nhattruong509
254822.0,kid112
303974.0,khanh_duong
363195.0,phongdth
26499.0,alex282
26936.0,voductri98
414047.0,peoshe
27908.0,rubythuy75
90800.0,nguyen_ngoc_anh_260804
457502.0,hong240978
12187.0,bibabibo_kimbo
534118.0,locnguyen90
556918.0,andynguyen2490
31106.0,vungdatmoi1998
590598.0,phucteacher007
597794.0,hamaiphuonglinh
107514.0,thanhman72
107590.0,dinhnam72
622791.0,tranhoangthuong271084
31434.0,thevnm
623354.0,hieu011995
108488.0,khanhi1804
13056.0,khanh11197
640.0,g*****a
13455.0,tohoanthanh
32653.0,tungacid
643443.0,ktministore
643632.0,ngocong2020
644177.0,vuhiep0670
646183.0,michealdang
647997.0,quan25100
113601.0,duckha.95hp
115188.0,khanhvynguyen386
115293.0,jiym2fw07b
34148.0,bibomcqsk
127376.0,chau0609
127587.0,longpham2911
130850.0,dungvutrung
36874.0,davetran2905
131944.0,208.tranyennhi
132267.0,tuyen296
37249.0,quynhphuong1711
135211.0,nlhsang
137766.0,hakim29121995
137848.0,thanhngo515
38893.0,alchan6713
15547.0,baothanh2088
40081.0,manhdung111222333
146877.0,kaifashion.vn
152075.0,1hxkzln9w9
154632.0,hlinh254
43657.0,hyhao123
164770.0,nguyenlua151
166757.0,hoaithuong26062003
168686.0,tamth83
171058.0,nguyenhao04012018
17373.0,blantq
176245.0,thanhnb0805
178597.0,khanhhoa_345
179305.0,hienhiennguyen06
179908.0,chanhdung_2105
183016.0,camtu1995
17916.0,giahannguyen1999
185636.0,hoang.tt.phuong
48160.0,manhtan2307
189097.0,utuyen_16
191937.0,tranguyen2403
192019.0,ty464aa
197162.0,nhathien1984
50968.0,dinhtrongdac
199693.0,tuthao09121989
201398.0,thaovy12062007
202333.0,thinhong564
51614.0,vyhung12345
204444.0,diemphuc3007
209521.0,hacchiii
53267.0,hanhminhnam_2k16
214853.0,truongvu035
215316.0,trangiaman919293
215591.0,duonghang1234567
216009.0,ipodthoinay
54608.0,quynguyen17l
217887.0,lynxangni
217931.0,duyen_my_tran
219334.0,biue6ivgil
220182.0,7cv0lbtypc
220639.0,baotran.dl2019
226969.0,bbanhcaas
229936.0,nguyenquypro0908
230239.0,mrtien2k09012000
232187.0,nyvo12345
