user_id_idx,user
134039.0,tuan.._....mww
153406.0,2zbhs4byeo
17982.0,chamiii1103
378261.0,letuhao0911
398598.0,trandinhcong3004
529574.0,thegioilamdepp
606945.0,phamhung12101972
612261.0,quoc.tuong
638120.0,nhannghia55899
649312.0,viet24hxx
122184.0,hoangnhan15_
151560.0,nguyentuandat77
55982.0,littlebean1720
240236.0,aphuong92
252798.0,manhdzzzzzzzzzzzzzz
276418.0,anhienty
285326.0,bich_ngoc_10
300700.0,kimlien1234567addp
24037.0,hoangxtoan
316584.0,dothithuylinh1
333708.0,nguyenhuysy1012
26291.0,diu_nguyen_1992
3976.0,quynhtrang246
407276.0,thuy_ngan.28
427853.0,rc_f_zt6ju
88639.0,buidiep_gq
2982.0,luongvantai1389
491608.0,tintinlun7
511681.0,beargrylls8901
513468.0,meomeop
524373.0,van___anhh
545959.0,u4alq894le
550703.0,ml19681978
105753.0,ech_con123
12859.0,lamhieny
12891.0,linh51m37700
622013.0,lgqdhn
623739.0,luuvanphung
623777.0,n3nguyen.vn
107990.0,hieunguyen008
625130.0,trantienegie9888
109239.0,thao_0605
32231.0,an.nhien112113
111104.0,viduong_2003
638190.0,nhun99998
639286.0,duclam28
639435.0,phamhuuluan1995
640228.0,ptm.53
6963.0,tonyan02
641118.0,putinmq
642506.0,hanhttm1
644537.0,dangnhap428
646397.0,thoapham0701
647353.0,nguyenvananh1231985
113871.0,buithinam_92
115746.0,louismanboxer
116602.0,imtao
118819.0,vinhriu4404
121355.0,huyksnb123
123132.0,phuocemnguyencanh
123637.0,thiduong1234567
123786.0,ngocquyy107
124375.0,meo.xiii
125144.0,chilinh12
125213.0,vinhphat3003
129644.0,kyng134540
131419.0,dong.ok
37377.0,qweradf12
14919.0,nguyenhoangkhanhduy1510
135798.0,im.kqanb
137009.0,hangxx2005
137336.0,ledongdtx
137464.0,nuongnuong711
38117.0,tuhp82
138436.0,huyenthuong3173
141639.0,gunkhung
7626.0,trisvox
