user_id_idx,user
338881.0,hughleos
57.0,l*****6
128777.0,trungduong1999
247.0,c*****o
210278.0,dieuanhnguyen91
411214.0,camtuyen29041992
533396.0,nguyentruongthi1978
90.0,m*****4
140566.0,le1134
86.0,v*****2
153316.0,firstkid
47550.0,phuongnina1985
50746.0,vyle290892
218805.0,thienkhanh071994
222821.0,bongiu2606
61164.0,jnklj
249910.0,thanhthao270103
272878.0,1ah1en_ydl
2865.0,cun31102001
332476.0,nguyenthidiu64379
6161.0,huong_boom.st2
359354.0,heyjude0307
26893.0,duongvankhai96
11649.0,votuankiet1605
4029.0,thanhnga161
87066.0,nhat.srhb
456627.0,luntitmap
96409.0,nguyenluan5692
4122.0,viet.1908
503539.0,thanhhien85
97648.0,son.oanh_hp
529385.0,manhha9920003
538793.0,nhaq123
104417.0,cindi_1099.
105037.0,tungpkk
31411.0,duyluong1412
108352.0,nguyenlananh1208
31675.0,toi081986
627078.0,haininh147
631420.0,gaubeo09
109814.0,trantran0822
109885.0,kieutrinhpham6
632579.0,trungtran.exp
632963.0,f3dh8u_xp2
633526.0,kenken0967676700
635042.0,ruby9xx
635267.0,cuoctinhtrongconmua
32355.0,cadaonstore
638627.0,hang_truong_thi
639366.0,yuuki.chan1104
111624.0,maimeo.112
640784.0,huhjniji
642937.0,votlamhuy
112447.0,tranlientc41b
646223.0,taometlamroiday.
113800.0,tra2110
113953.0,12345phuongchi
7064.0,chinhvk
114999.0,thydoan924
118916.0,lethinguyen997
34573.0,dicho1996
35186.0,duytanqn1991
35266.0,minhmeo0123
35289.0,kimchi180208
35571.0,lehoahao250791
124629.0,upystudio
127028.0,linhhoang28102001
128294.0,duckayak
37124.0,letrangnguyen2000
133273.0,vuducthang130604
135231.0,phivantran78
137231.0,nlydan
15125.0,wraq_u3sdr
140102.0,chanchon.3110
140499.0,ntt061124
38753.0,minhopexx
142460.0,a3q_d4k5i2
143688.0,fdtrdh
143802.0,tuanpham959
145010.0,uyenkiko
145730.0,vnnguynnh847
39934.0,huong.ganh
40303.0,at7ckiezml
148046.0,giangtrng582
150405.0,hoanganh2210205
41007.0,yenchi_1511
152054.0,camquyentv
160137.0,1eonf2asqk
164336.0,thunglungtim_221
165351.0,teoteoteo23456
45784.0,hungkhoi178
